MS,n_occurrences,n_sites,n_species,year_min,year_max,n_years
AT,35248,182,148,1838,2025,85
BE,64315,220,98,1968,2025,54
BG,48125,236,147,1971,2025,37
CY,10201,49,89,1902,2025,33
CZ,3315,186,89,1911,2025,38
DE,537106,3288,178,1863,2025,74
DK,1024503,327,167,1823,2025,154
EE,40520,331,107,1884,2025,66
ES,444640,1357,242,1952,2025,60
FI,91084,935,96,1908,2025,70
FR,1140573,1369,247,1827,2025,111
GR,100240,324,162,1895,2025,48
HR,41074,237,127,1903,2025,34
HU,33533,183,130,1891,2025,43
IE,3833,246,62,1909,2025,38
IT,102444,1573,153,1902,2025,51
LT,3276,133,67,1992,2025,27
LU,3601,52,44,2009,2025,17
LV,1369,69,73,1992,2025,23
MT,492,19,37,1879,2025,21
NL,20182,175,100,1851,2025,67
PL,24730,313,111,1968,2025,48
PT,194894,150,163,1857,2025,62
RO,54853,264,145,1892,2025,47
SE,3467352,2895,147,1838,2025,135
SI,8589,83,82,2000,2025,20
SK,1604,103,80,1989,2025,29
